Gene,Coefficient,Importance_Score,Correlation,P_Value,Bonferroni_P,Reference
GPR50,0.0005006219034658782,0.0005006219034658782,0.36070823949196656,0.00015677442488179057,1.0,
RONU,2.2093294528075973e-05,2.2093294528075973e-05,0.30045478278483645,9.127272209857152e-05,1.0,
