Feature,Coefficient
Beta_0,0.2973901390258956
Beta_1,0.24665098603214325
Beta_2,0.0
Beta_3,0.2449397153344006
Beta_4,0.06986573513857074
Beta_5,0.0
Beta_6,0.010704961991473427
Beta_7,0.015077868936575292
Beta_8,0.010171649918518428
Beta_9,0.0
Beta_10,0.0
Beta_11,0.0
Beta_12,0.0
Beta_13,0.0
Beta_14,0.00017079676485172747
Beta_15,0.0
Beta_16,3.6776075654107336e-05
Beta_17,0.0
Beta_18,0.0
Beta_19,0.0
Beta_20,0.00021727267221080445
Beta_21,0.0
Beta_22,0.0012007313361723122
Beta_23,0.0
Beta_24,0.0014727540927105102
Beta_25,0.0
Beta_26,-0.001246129578875312
Beta_27,-0.0017739639045578337
Beta_28,-0.0007404288267296183
Beta_29,0.0
Beta_30,0.0
Beta_31,0.0
Beta_32,0.0
Beta_33,0.0
Beta_34,0.0
Beta_35,0.0
Beta_36,-3.1881574409491816e-05
Beta_37,0.0
Beta_38,0.0
Beta_39,0.0
Beta_40,0.0
Beta_41,0.0
Beta_42,0.0
Beta_43,0.0
Beta_44,0.0
Beta_45,0.0
Beta_46,0.0
Beta_47,0.0
Beta_48,0.0
Beta_49,0.0
Beta_50,0.0
Beta_51,0.0
Beta_52,0.00048653783837436314
Beta_53,0.0015131872873121524
Beta_54,0.0
Beta_55,-2.512479135924663e-05
Beta_56,-0.0002469788394970731
Beta_57,0.0
Beta_58,0.0
Beta_59,0.0
Beta_60,0.0
Beta_61,0.0
Beta_62,0.0
Beta_63,0.0
Beta_64,0.0
Beta_65,0.0
Beta_66,0.0
Beta_67,0.0
Beta_68,0.0012257140775375791
Beta_69,0.0
Beta_70,0.0
Beta_71,0.0
Beta_72,8.415819987014435e-05
Beta_73,0.0
Beta_74,0.0
Beta_75,-5.648816346110591e-05
Beta_76,0.0
Beta_77,-0.0009502680944257076
Beta_78,0.0
Beta_79,0.0
Beta_80,0.0
Beta_81,-0.002767704475925198
Beta_82,0.0
Beta_83,0.0
Beta_84,0.0
Beta_85,0.0
Beta_86,0.0
Beta_87,0.0
Beta_88,0.0
Beta_89,0.0010448140659493608
Beta_90,0.010945114659387934
Beta_91,0.0
Beta_92,0.0005024774224981094
Beta_93,0.0020566777939547915
Beta_94,0.0010230492493576659
Beta_95,0.0
Beta_96,0.0
Beta_97,0.0
Beta_98,0.0
Beta_99,0.0
