Feature,Coefficient
Beta_0,0.0
Beta_1,-0.00012830995182295485
Beta_2,1.77223162056015e-05
Beta_3,4.661900955987905e-05
Beta_4,-0.0002079104508578706
Beta_5,-0.009275495721095312
Beta_6,-0.03195422744098474
Beta_7,-0.0396291567682949
Beta_8,-0.11884570919882888
Beta_9,-0.006023463962131987
Beta_10,0.04082112194336024
Beta_11,0.039294927817510567
Beta_12,0.00871683165247959
Beta_13,0.010056458584184007
Beta_14,0.0014660810695066612
Beta_15,0.010853553789734894
Beta_16,0.0
Beta_17,0.006143447031786986
Beta_18,0.00014260047727480824
Beta_19,0.0
Beta_20,0.0
Beta_21,0.0
Beta_22,0.00030720665882617864
Beta_23,0.0005607878391030298
Beta_24,0.0004334394806193298
Beta_25,-0.11771328396474154
Beta_26,-0.03876589743896324
Beta_27,-0.15350990944573206
Beta_28,-0.05621456259610431
Beta_29,-0.2520165592940927
Beta_30,-0.005307917181744328
Beta_31,-0.007036858938222646
Beta_32,-0.015331183517418268
Beta_33,0.0
Beta_34,-0.002054858865990535
Beta_35,0.001905914740787649
Beta_36,0.005544052138443717
Beta_37,0.00016665305490166156
Beta_38,0.0
Beta_39,0.00028681148732287215
Beta_40,-0.006234019068196202
Beta_41,-0.0010848636900178
Beta_42,-0.007770381155015051
Beta_43,-0.021939597903983858
Beta_44,-0.0046385724645851886
Beta_45,0.0022575372939991037
Beta_46,0.0003127362380494531
Beta_47,0.00576113904528617
Beta_48,0.07670623190083162
Beta_49,0.004744994785726823
Beta_50,1.9400584083987854e-06
Beta_51,0.0
Beta_52,0.0
Beta_53,0.0
Beta_54,0.0
Beta_55,0.0
Beta_56,0.0
Beta_57,0.0
Beta_58,-5.906782052298133e-05
Beta_59,0.0
Beta_60,-0.00035630225400537047
Beta_61,0.0
Beta_62,0.0
Beta_63,0.0
Beta_64,0.0
Beta_65,3.268732376698711e-05
Beta_66,0.0
Beta_67,0.0
Beta_68,0.00024476765202683504
Beta_69,0.0
Beta_70,0.0002542384758866683
Beta_71,0.0
Beta_72,0.00032719672061783795
Beta_73,0.00034556842485130977
Beta_74,2.0626307324245973e-05
Beta_75,-0.00058983622864384
Beta_76,0.0
Beta_77,-6.851459443642727e-05
Beta_78,0.0
Beta_79,0.00011651863522831034
Beta_80,-0.0006489397604125071
Beta_81,-7.458060747437727e-05
Beta_82,-0.003674669703150402
Beta_83,-0.0008653489779145627
Beta_84,0.0
Beta_85,0.0
Beta_86,0.0
Beta_87,0.0
Beta_88,0.0
Beta_89,0.0
Beta_90,0.0001479436966521613
Beta_91,6.210281083135392e-05
Beta_92,0.0
Beta_93,0.0
Beta_94,0.00010592188315172122
Beta_95,0.0
Beta_96,-0.0006922730693683768
Beta_97,-0.0003710887686217237
Beta_98,-0.0013053332342194827
Beta_99,-0.0006695690123665467
Beta_100,0.0
Beta_101,0.0
Beta_102,-3.360565103483677e-05
Beta_103,0.0
Beta_104,-0.0003239449386696597
Beta_105,0.00035296104874113515
Beta_106,0.0
Beta_107,0.005703125601188225
Beta_108,0.0004945570047987075
Beta_109,0.00023765408257990695
Beta_110,4.586994434981766e-05
Beta_111,0.0
Beta_112,0.0
Beta_113,0.0
Beta_114,0.0
Beta_115,0.0
Beta_116,0.0
Beta_117,0.00047859308712118204
Beta_118,0.00019422066112393958
Beta_119,0.0
Beta_120,0.0
Beta_121,-0.0001826247481359845
Beta_122,-0.00025387676592754013
Beta_123,-0.00014463612626130002
Beta_124,0.0
Beta_125,0.0
Beta_126,0.0
Beta_127,0.0
Beta_128,0.0
Beta_129,0.0
Beta_130,-2.582229991038555e-05
Beta_131,-2.940614587550769e-05
Beta_132,0.0
Beta_133,0.0
Beta_134,0.0
Beta_135,-0.00030674509302563643
Beta_136,-0.00020793468499129416
Beta_137,-0.00024931215433126566
Beta_138,-0.00024993609805601234
Beta_139,0.0
Beta_140,0.0001874900540399362
Beta_141,0.0
Beta_142,2.582900910221566e-05
Beta_143,-2.81420404642811e-05
Beta_144,0.0
Beta_145,-3.6541704495089e-05
Beta_146,-4.081783597674536e-05
Beta_147,0.0
Beta_148,0.0
Beta_149,0.0
Beta_150,0.0
Beta_151,0.0
Beta_152,0.0
Beta_153,0.0
Beta_154,-0.0002111586918927344
Beta_155,0.0
Beta_156,0.0
Beta_157,0.0
Beta_158,1.5078913450152666e-05
Beta_159,2.0437468996073525e-05
Beta_160,0.0
Beta_161,0.0
Beta_162,0.0
Beta_163,0.0
Beta_164,0.0
Beta_165,0.0
Beta_166,0.0
Beta_167,0.0
Beta_168,0.0
Beta_169,0.0
Beta_170,0.0
Beta_171,2.6401314059361108e-05
Beta_172,0.0
