Feature,Coefficient
Beta_0,-0.1335470789186849
Beta_1,-0.11232400000905797
Beta_2,-0.13656505965541307
Beta_3,-0.10432288490986734
Beta_4,-0.2566411051773841
Beta_5,0.03259805971487457
Beta_6,0.014079282424418279
Beta_7,0.05212292529836447
Beta_8,0.041743626954026516
Beta_9,0.0678956716260187
Beta_10,0.05644815461857083
Beta_11,0.03429246194855404
Beta_12,0.021106074460637878
Beta_13,0.06102115295689387
Beta_14,0.02570474104882066
Beta_15,0.008946419638284719
Beta_16,0.010884581399706612
Beta_17,0.009803024906339372
Beta_18,0.006172641362227402
Beta_19,0.003660798705807349
Beta_20,-0.004368099821731897
Beta_21,-0.0015301692290509458
Beta_22,-0.00576453421165807
Beta_23,-0.0051476936784368875
Beta_24,-0.005147812362495533
Beta_25,-0.0005072134222456206
Beta_26,-0.0019146596431732835
Beta_27,-0.0009175762888888929
Beta_28,-0.003981853219095003
Beta_29,-0.00030446762306172905
Beta_30,-0.021442315255205468
Beta_31,-0.05057368604795976
Beta_32,-0.024972524258343683
Beta_33,-0.01261849667422978
Beta_34,-0.014340980356103384
Beta_35,-0.0021368471289947228
Beta_36,-5.8130625173594805e-05
Beta_37,-0.0024574660281826144
Beta_38,-0.013821027523698137
Beta_39,-0.008598931088344594
Beta_40,-0.012303974991469424
Beta_41,-0.027604258302439705
Beta_42,-0.06668756102593185
Beta_43,-0.06801178508566415
Beta_44,-0.023591059408949906
Beta_45,0.0015723772989544441
Beta_46,0.004541115484621601
Beta_47,0.007865120802717541
Beta_48,0.002259061141600556
Beta_49,0.0017677595560722968
Beta_50,0.0
Beta_51,-3.3976928174004616e-05
Beta_52,-0.00011243946148596016
Beta_53,-2.145167166861046e-06
Beta_54,-2.3409638456020385e-05
Beta_55,1.5979782040338318e-05
Beta_56,9.763593583884822e-05
Beta_57,9.149182912292992e-06
Beta_58,0.0
Beta_59,2.5638988810761933e-05
Beta_60,-0.0001340540158368426
Beta_61,-0.00012729506515163247
Beta_62,-2.0265187138832378e-05
Beta_63,-9.057920456105558e-05
Beta_64,-1.1013005393878957e-06
Beta_65,1.589853461093213e-05
Beta_66,-5.268790034947079e-06
Beta_67,-1.7102666521743905e-05
Beta_68,2.748819192496819e-05
Beta_69,-6.119061198108552e-05
Beta_70,-0.00010464806057491145
Beta_71,0.0
Beta_72,-0.00024111943487570715
Beta_73,-0.00019383398035241147
Beta_74,-0.00010143077872886715
Beta_75,-4.836069505629312e-05
Beta_76,-4.4891677005087605e-05
Beta_77,-6.305554212924289e-05
Beta_78,-5.555495393604853e-05
Beta_79,0.0
Beta_80,-0.0003022001283074596
Beta_81,-0.0006791036136677085
Beta_82,-0.0002517981941621396
Beta_83,-7.316302391196951e-05
Beta_84,-2.2426461904403013e-05
Beta_85,-2.27483450293333e-06
Beta_86,0.0
Beta_87,4.124046550955533e-05
Beta_88,0.0
Beta_89,0.0
Beta_90,6.0167085776974894e-05
Beta_91,-1.8815637644012175e-05
Beta_92,0.0
Beta_93,-2.191543742411664e-06
Beta_94,-2.2370351677079757e-06
Beta_95,-0.0008132701285276808
Beta_96,-0.0002704670303701003
Beta_97,-0.00018422125372158368
Beta_98,0.0
Beta_99,-5.344540832129335e-05
Beta_100,6.029062970466555e-05
Beta_101,8.56235556884344e-06
Beta_102,2.6784265747382653e-05
Beta_103,0.00017898834618290796
Beta_104,0.0
Beta_105,9.105387154935681e-05
Beta_106,4.317860340591673e-05
Beta_107,-5.378128965908849e-05
Beta_108,0.0
Beta_109,-3.621574863757871e-05
Beta_110,-5.3336096807745785e-05
Beta_111,1.0895506160516176e-05
Beta_112,3.710690200550136e-06
Beta_113,1.491800180069481e-05
Beta_114,3.263823710181994e-05
Beta_115,-5.730848393236927e-05
Beta_116,-2.175576505741809e-05
Beta_117,-0.0002595736493862365
Beta_118,1.4502924857920526e-05
Beta_119,-0.00015487602682797075
Beta_120,-6.335257505024944e-05
Beta_121,0.0
Beta_122,0.0
Beta_123,-7.954824857121304e-05
Beta_124,0.0
Beta_125,1.5952511603799536e-05
Beta_126,6.449882814237047e-05
Beta_127,4.295885894752809e-05
Beta_128,8.957825340434108e-06
Beta_129,0.00012201639243577273
Beta_130,-5.248541055332409e-05
Beta_131,-0.00019681751250405857
Beta_132,-0.00012462274538173945
Beta_133,-6.6331428181008945e-06
Beta_134,-0.000546709346500654
Beta_135,2.4765346663890977e-05
Beta_136,-9.761955553223252e-06
Beta_137,0.0006457919737023713
Beta_138,0.00023954886225893417
Beta_139,0.00010489003888910279
Beta_140,1.6560960003139558e-05
Beta_141,0.0001958639126160301
Beta_142,0.0
Beta_143,0.00019239393295417806
Beta_144,0.00010006908811040314
Beta_145,-0.0003560937458440294
Beta_146,-0.00013445514253265797
Beta_147,-0.00022002441490932752
Beta_148,-5.534204333921071e-05
Beta_149,-0.0003190899146373698
Beta_150,6.779346391538893e-05
Beta_151,9.629125823215473e-05
Beta_152,0.00045968137448565487
Beta_153,0.00021189645872820084
Beta_154,0.00019434050032035382
Beta_155,-0.0004845500553215129
Beta_156,-0.00012439346919570888
Beta_157,-0.0009454528172091438
Beta_158,-0.00041434933858386434
Beta_159,-0.00016890115389530213
Beta_160,-0.0001476592694921823
Beta_161,-0.00046362011846415107
Beta_162,-0.001684866133643855
Beta_163,-0.0004085435286280765
Beta_164,-0.0007560609871466002
Beta_165,8.688061264240775e-05
Beta_166,0.00019673355390016097
Beta_167,0.0005126499557665234
Beta_168,0.00015304674733848886
Beta_169,0.0007676679772708901
Beta_170,6.405899141020872e-05
Beta_171,4.5694901538868535e-05
Beta_172,5.305564005752538e-05
Beta_173,3.6862127875278285e-05
Beta_174,-1.1187876569346038e-05
Beta_175,7.952648832273557e-05
Beta_176,0.00012252047073204103
Beta_177,0.00014931240387007106
Beta_178,6.40063632036615e-05
Beta_179,0.0006275811442830899
Beta_180,3.323466044687903e-08
Beta_181,-4.131595940612046e-05
Beta_182,-9.728754227344939e-06
Beta_183,-3.940906072399803e-05
Beta_184,3.914928683878609e-06
Beta_185,0.0005236002662873403
Beta_186,0.00046221942035214175
Beta_187,9.550601238055626e-05
Beta_188,0.0006488741349235207
Beta_189,0.0
Beta_190,9.928436398479522e-05
Beta_191,3.589827275570387e-05
Beta_192,-0.00011831563990758694
Beta_193,-3.115072513777856e-05
Beta_194,-7.285954208606576e-05
Beta_195,0.0
Beta_196,3.9613109512540836e-05
Beta_197,0.00013031282066296615
Beta_198,7.203460509367534e-05
Beta_199,6.8789988878739555e-06
Beta_200,-0.000467616329761675
Beta_201,-0.0019309337194205452
Beta_202,-0.001862394952602409
Beta_203,-0.0019372106078870584
Beta_204,-0.0009995740456548313
Beta_205,-7.728343698923261e-06
Beta_206,-7.023928449611043e-05
Beta_207,-4.607144705287898e-05
Beta_208,3.6914528735615016e-05
Beta_209,5.1936822860348035e-05
Beta_210,-0.00023835114614446145
Beta_211,0.0
Beta_212,-5.822517516152807e-05
Beta_213,-0.0004500926298209264
Beta_214,-0.00011912135091479658
Beta_215,-0.0002807469954463984
Beta_216,-0.00025530721206599055
Beta_217,-0.0008449474370187189
Beta_218,-0.00018659278902554918
Beta_219,0.0
Beta_220,-8.043230375401464e-05
Beta_221,-0.0006598645827669573
Beta_222,-0.0005211888701074541
Beta_223,-0.000249786007906302
Beta_224,-0.0005945106024410815
Beta_225,0.0
Beta_226,0.0
Beta_227,0.0001399105893663163
Beta_228,0.0
Beta_229,0.00021014107678780377
Beta_230,0.0009869707693096173
Beta_231,0.00022032530395526976
Beta_232,5.446102232163049e-05
Beta_233,3.3027158002351883e-06
Beta_234,0.00010427499308882017
Beta_235,1.4030769332737372e-05
Beta_236,-6.7991630723366e-05
Beta_237,0.00016760236097776508
Beta_238,1.802072865965549e-05
Beta_239,0.0
Beta_240,1.627812001787797e-05
Beta_241,-0.00019931377329558765
Beta_242,8.91025680379631e-05
Beta_243,0.0001524843665813091
Beta_244,0.00012433792366765194
Beta_245,6.819995468202673e-05
Beta_246,1.3339450000712338e-05
Beta_247,-5.500813270529862e-06
Beta_248,6.705813725891868e-06
Beta_249,3.2251509456943695e-06
Beta_250,0.0003162700297801755
Beta_251,0.0
Beta_252,2.0307523214756223e-05
Beta_253,-9.392048209944138e-06
Beta_254,3.571029695151918e-05
Beta_255,0.00021230443730578224
Beta_256,6.9653195192984735e-06
Beta_257,0.00016103908741654015
Beta_258,6.13169156935557e-05
Beta_259,0.0
Beta_260,-0.000696119155926111
Beta_261,-0.000258701951211599
Beta_262,-0.00081063389735745
Beta_263,-0.00045066022906336997
Beta_264,-0.0006671581771491797
Beta_265,0.00044177365982504455
Beta_266,0.00037920360648940904
Beta_267,0.0005986151211125474
Beta_268,0.00012020851701332625
Beta_269,0.00016017299468149164
Beta_270,0.0
Beta_271,0.0
Beta_272,-0.0001036098856759383
Beta_273,-6.11072719320705e-05
Beta_274,-7.609788944069288e-05
Beta_275,-3.552668140250861e-05
Beta_276,-0.00016892249522688804
Beta_277,-6.598189642524864e-05
Beta_278,-3.065676458083918e-05
Beta_279,0.0
Beta_280,0.0002619627604126506
Beta_281,0.0
Beta_282,0.0
Beta_283,0.0002257505651256269
Beta_284,8.1838734475115e-05
Beta_285,0.002582081235854325
Beta_286,0.0026764527066749063
Beta_287,0.0023538406489995362
Beta_288,0.0010030038923114278
Beta_289,0.003265411653062527
Beta_290,3.622194579300916e-05
Beta_291,0.00015059693777716093
Beta_292,6.296784908242024e-05
Beta_293,-1.053095182514212e-05
Beta_294,6.426031876301324e-05
Beta_295,-1.4856402780759203e-05
Beta_296,2.3848638231881918e-05
Beta_297,-2.9633670006530694e-05
Beta_298,1.457838636619682e-06
Beta_299,-0.00020677328152768072
Beta_300,-7.739556530256194e-05
Beta_301,-3.658912442260335e-05
Beta_302,-4.2378099445703706e-05
Beta_303,-3.988104141177671e-05
Beta_304,-6.812591827400675e-06
Beta_305,0.0002518473249946317
Beta_306,3.495946842711476e-05
Beta_307,0.0004891510604442545
Beta_308,0.00018295226135940453
Beta_309,0.00010618648244763648
Beta_310,2.007956404534851e-05
Beta_311,0.00010873766716013909
Beta_312,2.709836918568225e-06
Beta_313,-3.0460699382792385e-05
Beta_314,2.5540957942022855e-05
Beta_315,-3.079037735565542e-05
Beta_316,-7.129080402143496e-05
Beta_317,-0.00012582989506483222
Beta_318,-6.379958524426477e-05
Beta_319,-0.00021489385180155466
Beta_320,-0.0002695288863310144
Beta_321,-0.0007090246383868997
Beta_322,-5.408510571680284e-05
Beta_323,2.2874364347805562e-05
Beta_324,-0.001203083257307105
Beta_325,0.0003452584242468578
Beta_326,0.0001201743087515542
Beta_327,4.998282267116141e-05
Beta_328,0.0001469647113113459
Beta_329,9.823463173722158e-06
Beta_330,4.946689338656997e-05
Beta_331,-2.9135016851466333e-05
Beta_332,5.052281963198232e-05
Beta_333,2.3717030068677305e-05
Beta_334,0.00010866103518239345
Beta_335,0.00037459388015927017
Beta_336,0.00032806763932889313
Beta_337,0.0002309105579252715
Beta_338,0.00019647526291235163
Beta_339,0.0003504467425481601
Beta_340,0.0
Beta_341,0.0
Beta_342,0.0
Beta_343,4.6004965368939064e-06
Beta_344,-0.0001990862600755038
Beta_345,0.0002952276937836947
Beta_346,0.00026588566035538457
Beta_347,0.00032859911874588455
Beta_348,8.882140313950335e-06
Beta_349,0.00020252455834219492
Beta_350,4.2761551842424085e-05
Beta_351,-5.019839004167323e-05
Beta_352,2.9615596406282833e-05
Beta_353,-7.41285870841954e-06
Beta_354,0.0
Beta_355,-0.00016247521882635087
Beta_356,-0.00013448440394843165
Beta_357,-0.00035234226302435713
Beta_358,-2.4856547938224718e-05
Beta_359,-3.72476753602412e-06
Beta_360,-4.181943250597342e-05
Beta_361,-5.495927622236218e-05
Beta_362,-5.251163137781198e-05
Beta_363,-0.0001315377287443374
Beta_364,-0.0002896628581578676
Beta_365,0.0001551895176415193
Beta_366,8.97532475093182e-05
Beta_367,2.8372556148433906e-07
Beta_368,6.538570441793331e-05
Beta_369,0.00012920454753160562
Beta_370,7.933501154276693e-06
Beta_371,-1.8553294131934185e-05
Beta_372,9.536126609582842e-06
Beta_373,4.795502046488263e-05
Beta_374,-3.2983253702931126e-05
Beta_375,0.00024507507268810416
Beta_376,0.000877536662786919
Beta_377,0.0011947993883212596
Beta_378,0.0007816695570673826
Beta_379,0.0010175899214591383
Beta_380,-7.038747767192169e-05
Beta_381,-0.0002582797364708062
Beta_382,-0.00023412454500689386
Beta_383,-0.0008331519590656022
Beta_384,-0.0009886148158795944
Beta_385,-0.00012796064021361613
Beta_386,-0.00016427072124076597
Beta_387,-0.00040552504846042367
Beta_388,3.623016995083344e-07
Beta_389,-2.8115083088070472e-05
Beta_390,-0.00013868382716986837
Beta_391,0.0
Beta_392,-1.3064111616271588e-05
Beta_393,3.182148453099564e-05
Beta_394,4.989478095924754e-05
Beta_395,-0.000960260304113237
Beta_396,-0.00025530896052282354
Beta_397,-0.00016236023353725682
Beta_398,-0.00016151288570687638
Beta_399,-0.0002913225746286376
Beta_400,0.0
Beta_401,-0.0008072042805776021
Beta_402,0.0
Beta_403,0.0
Beta_404,-0.00019231609740990357
Beta_405,1.3255130050528705e-05
Beta_406,-3.953221970535585e-05
Beta_407,2.8520974462706295e-05
Beta_408,1.4771941947605588e-05
Beta_409,-1.0989176905679988e-05
Beta_410,0.00013431631841084917
Beta_411,6.709731681606116e-05
Beta_412,0.00023242951013154593
Beta_413,2.7824798953101516e-05
Beta_414,-3.437185326540429e-05
Beta_415,-0.00019257296782406962
Beta_416,-1.538797195883845e-05
Beta_417,-0.0007363972073841906
Beta_418,-0.0017504933987805662
Beta_419,-0.00026140349461359797
Beta_420,2.965501652726175e-05
Beta_421,0.00026201504570286135
Beta_422,1.741547948924084e-05
Beta_423,7.686183344030727e-05
Beta_424,7.483177134972112e-05
Beta_425,-0.00025077057444593503
Beta_426,-0.0004982509676453673
Beta_427,-0.0002513294463906169
Beta_428,-0.0005781152382545804
Beta_429,-0.00018891953379379892
Beta_430,-4.7242376649103485e-06
Beta_431,-3.291116414146966e-05
Beta_432,-8.458302353978651e-05
Beta_433,-0.0001316943887407484
Beta_434,-6.29149516231321e-05
Beta_435,4.42032401454814e-05
Beta_436,0.0
Beta_437,0.0
Beta_438,1.5867073261740325e-06
Beta_439,0.00018594834596313565
Beta_440,-0.00011312441927238144
Beta_441,-1.9653010193772912e-05
Beta_442,-4.2787562502169066e-07
Beta_443,-4.672026371405888e-05
Beta_444,-0.0001238274766199825
Beta_445,0.0006738063133100901
Beta_446,0.0006427437237639289
Beta_447,0.00027767381422048724
Beta_448,0.0005231258078266482
Beta_449,0.0003211707765057446
Beta_450,4.961177169781416e-05
Beta_451,4.087732737046543e-05
Beta_452,2.0258763284551278e-05
Beta_453,9.669156720064622e-05
Beta_454,3.365262435319826e-05
Beta_455,-4.7247723990392055e-05
Beta_456,5.8668114699962e-05
Beta_457,-6.103388402033502e-06
Beta_458,1.536056587857098e-05
Beta_459,2.4349769026068002e-05
Beta_460,7.556342491034203e-05
Beta_461,0.00016290438132840186
Beta_462,0.00030084686269064544
Beta_463,0.0002142428519834348
