Feature,Coefficient
Beta_0,-0.006832353092738432
Beta_1,-0.022570028280111187
Beta_2,-0.015588953508405634
Beta_3,-0.05548065370864579
Beta_4,-0.01107623665937785
Beta_5,-0.005930311916983842
Beta_6,-0.003874653331777429
Beta_7,-0.0009012315201243781
Beta_8,-0.004680116400503506
Beta_9,-0.0029934736894124403
Beta_10,-4.689422293915387e-05
Beta_11,0.0
Beta_12,-0.00016610838825057556
Beta_13,-0.0001834464925114493
Beta_14,-3.247608433499468e-05
Beta_15,-0.02578370856310352
Beta_16,-0.11768724069666435
Beta_17,-0.08786530736554253
Beta_18,-0.1603887046047988
Beta_19,-0.14683674573806685
Beta_20,-0.11864390723279226
Beta_21,-0.07138718062895764
Beta_22,-0.10465006493654835
Beta_23,-0.04076021504695649
Beta_24,-0.043450887909460466
Beta_25,-0.050268401312472615
Beta_26,-0.20679937639917192
Beta_27,-0.061482758728452463
Beta_28,-0.038717701665488186
Beta_29,-0.010733281107812426
Beta_30,-0.09314901192272794
Beta_31,-0.0673272554156128
Beta_32,-0.10575663572636576
Beta_33,-0.05937194862058895
Beta_34,-0.006890064522663506
Beta_35,-0.0022169247876457064
Beta_36,-5.40559555997432e-05
Beta_37,-0.00013259287888769828
Beta_38,-0.0005086587147725559
Beta_39,-0.0010025282457592885
Beta_40,0.00042543047860447113
Beta_41,3.736995065518897e-05
Beta_42,4.3598925431064935e-05
Beta_43,0.00028902072849652414
Beta_44,0.0009704294829414523
Beta_45,0.001125714775668379
Beta_46,0.0057233971151045195
Beta_47,0.007543377233398952
Beta_48,0.0032587002972408546
Beta_49,0.00656136651316091
Beta_50,-0.0007029822451563094
Beta_51,-0.0021178382552764674
Beta_52,-0.0014345393290498096
Beta_53,-0.0016372860477281061
Beta_54,-0.0009264781680340163
Beta_55,0.0002149618974425903
Beta_56,0.00028953870165007197
Beta_57,0.00035426022739965614
Beta_58,4.9515092936877984e-05
Beta_59,0.000269765797465796
Beta_60,0.0
Beta_61,0.0
Beta_62,0.0
Beta_63,8.85814835909895e-05
Beta_64,2.2982701078802506e-05
Beta_65,0.0
Beta_66,6.778494364158834e-05
Beta_67,1.7330220802215672e-05
Beta_68,3.6231073102295375e-05
Beta_69,2.6762809542925824e-05
Beta_70,-9.733040503595758e-05
Beta_71,-0.0003451493001661384
Beta_72,-5.847916291989333e-05
Beta_73,-0.00015141476923572245
Beta_74,2.551237689635295e-05
Beta_75,0.00031620336220121545
Beta_76,1.0373342114780059e-07
Beta_77,0.0
Beta_78,0.0003592719973033552
Beta_79,0.00018299026178820869
Beta_80,-4.5456468048797134e-05
Beta_81,9.703515728626861e-06
