Feature,Coefficient
Beta_0,0.0
Beta_1,-9.067124664178753e-07
Beta_2,0.0
Beta_3,-2.0924640274738605e-05
Beta_4,0.0
Beta_5,0.0010179437950732892
Beta_6,0.0004288943647857412
Beta_7,0.0
Beta_8,0.0004684049986813642
Beta_9,0.0009638435257699595
Beta_10,0.0
Beta_11,0.0
Beta_12,0.0
Beta_13,0.0
Beta_14,0.0
Beta_15,-0.09057484188801876
Beta_16,-0.05066098756496679
Beta_17,-0.14941684071349304
Beta_18,-0.1450656448323494
Beta_19,-0.07054552372185027
Beta_20,-6.186479967584235e-05
Beta_21,-0.00012902830949723684
Beta_22,-3.3026842391022184e-05
Beta_23,-0.00019592040794943566
Beta_24,-0.00036551713358177123
Beta_25,-0.009452771701942015
Beta_26,-0.06059897517330846
Beta_27,-0.007350560449868007
Beta_28,-0.004787189530198247
Beta_29,-0.022685603226301775
Beta_30,-0.062068153097480545
Beta_31,-0.027719183056971616
Beta_32,-0.039169969020741345
Beta_33,-0.019818393821360816
Beta_34,-0.0435790895962146
Beta_35,-0.0678411687393366
Beta_36,-0.11146635267854002
Beta_37,-0.028550616678049385
Beta_38,-0.022505648101020546
Beta_39,-0.11522392028841459
Beta_40,-2.1464974551860397e-05
Beta_41,-5.423018657762594e-05
Beta_42,-8.92454007832823e-05
Beta_43,-0.00015960800986316434
Beta_44,-5.810615408261838e-05
Beta_45,-0.018150643537352535
Beta_46,-0.06871423046434344
Beta_47,-0.03075982157694077
Beta_48,-0.03550981453188055
Beta_49,-0.029013742715590755
Beta_50,0.0
Beta_51,0.0
Beta_52,0.0
Beta_53,0.0
Beta_54,0.0
Beta_55,0.0
Beta_56,0.0
Beta_57,0.0
Beta_58,5.206526655928295e-05
Beta_59,0.0
Beta_60,-3.481140742033335e-05
Beta_61,0.0
Beta_62,0.0
Beta_63,-1.5553819333797347e-05
Beta_64,0.0
Beta_65,0.0
Beta_66,7.800481632329993e-08
Beta_67,4.328003465878092e-06
Beta_68,0.0
Beta_69,2.4203368008020513e-05
Beta_70,9.053237637576492e-06
Beta_71,5.7106878264178355e-05
Beta_72,0.0
Beta_73,3.90333162936568e-05
Beta_74,0.0
Beta_75,0.0
Beta_76,0.0
Beta_77,0.0
Beta_78,0.0
Beta_79,0.0
Beta_80,0.0
Beta_81,0.0
Beta_82,0.0
Beta_83,0.0
Beta_84,6.982042448423008e-07
Beta_85,-2.448989659934614e-05
Beta_86,-5.3499358184060534e-05
Beta_87,0.0
Beta_88,-2.4826719682658187e-05
Beta_89,-1.4727540741126895e-05
Beta_90,0.0
Beta_91,0.0
Beta_92,0.0
Beta_93,0.0
Beta_94,0.0
Beta_95,0.0
Beta_96,0.0
Beta_97,0.0
Beta_98,0.0
Beta_99,0.0
Beta_100,-7.567968409364569e-06
Beta_101,-9.173804092514311e-05
Beta_102,-1.4824450928203401e-05
Beta_103,-4.5589834457142836e-05
Beta_104,0.0
Beta_105,0.0
Beta_106,0.0
Beta_107,0.0
Beta_108,0.0
Beta_109,0.0
Beta_110,0.0
Beta_111,0.0
Beta_112,0.0
Beta_113,0.0
Beta_114,0.0
Beta_115,0.0
