Feature,Coefficient
Beta_0,0.00477090628407277
Beta_1,0.0646919061661814
Beta_2,0.006419826875271676
Beta_3,0.0031474173369060586
Beta_4,0.01477388173350605
Beta_5,0.00676100171243441
Beta_6,0.010596707460360557
Beta_7,0.015439689678579801
Beta_8,0.020073913217908055
Beta_9,0.021214175782285506
Beta_10,-0.0013545682619132522
Beta_11,-0.00462438233302664
Beta_12,-0.009703886703215196
Beta_13,-0.00183000956875009
Beta_14,-0.01407917216838628
Beta_15,-0.006745742647581039
Beta_16,-0.009489219485570565
Beta_17,-0.011559601254427442
Beta_18,-0.02005326365459593
Beta_19,-0.004890631177694445
Beta_20,-0.00028173272452523433
Beta_21,-0.00034548610633472053
Beta_22,-4.293392924853818e-06
Beta_23,-3.0212720155835716e-08
Beta_24,-0.012503467146939968
Beta_25,-0.12663159764905862
Beta_26,-0.037923613156765804
Beta_27,-0.05055281211701925
Beta_28,-0.00506031897414636
Beta_29,-0.015436688163672144
Beta_30,0.04903018848802648
Beta_31,0.019369062126637384
Beta_32,0.012209440674658492
Beta_33,0.23353739902951218
Beta_34,0.05335042818645078
Beta_35,-0.009117043844580236
Beta_36,-0.007678901512644364
Beta_37,-0.042704096774997605
Beta_38,-0.005994112273816167
Beta_39,-0.007335137797333741
Beta_40,-0.14146556932255092
Beta_41,-0.035919559694235645
Beta_42,-0.10041427276348558
Beta_43,-0.0458746771157759
Beta_44,-0.034832243134118104
Beta_45,0.00040436618739766805
Beta_46,0.0008756761285563875
Beta_47,0.002362660796058375
Beta_48,0.010901662274539772
Beta_49,0.004343085541916806
Beta_50,2.8067425635568946e-05
Beta_51,0.0
Beta_52,0.0
Beta_53,9.132859370978647e-06
Beta_54,0.0
Beta_55,0.0
Beta_56,0.0
Beta_57,0.0
Beta_58,0.0
Beta_59,0.0
Beta_60,0.0
Beta_61,0.0
Beta_62,0.0
Beta_63,0.0
Beta_64,0.0
Beta_65,0.0
Beta_66,0.0
Beta_67,0.0
Beta_68,0.0
Beta_69,0.0
Beta_70,0.0
Beta_71,0.0
Beta_72,0.0
Beta_73,0.0
Beta_74,-6.182234735858599e-06
Beta_75,1.8238667192098163e-05
Beta_76,0.0
Beta_77,0.00011978715818469071
Beta_78,4.1290918533470455e-05
Beta_79,0.00014679479571902082
Beta_80,0.0
Beta_81,0.0
Beta_82,0.0
Beta_83,0.0
Beta_84,0.0
Beta_85,0.0
Beta_86,6.719505756550394e-06
Beta_87,0.0
Beta_88,0.0
Beta_89,0.0
Beta_90,-0.00022514012578341548
Beta_91,-9.908394596250157e-05
Beta_92,-3.089466244519164e-05
Beta_93,-0.000129158480571917
Beta_94,-9.7820763422645e-05
Beta_95,0.0
Beta_96,0.0
Beta_97,0.0
Beta_98,0.0
Beta_99,0.0
Beta_100,0.0
Beta_101,0.0
Beta_102,0.0
Beta_103,0.0
Beta_104,0.0
Beta_105,0.0
Beta_106,0.0
Beta_107,0.0
Beta_108,0.0
Beta_109,0.0
Beta_110,0.0
Beta_111,0.0
Beta_112,0.0
Beta_113,0.0
Beta_114,0.0
Beta_115,0.0
Beta_116,0.0
Beta_117,-2.798226215117727e-05
Beta_118,-5.287435568788389e-05
Beta_119,-8.23988186555095e-06
Beta_120,0.0
Beta_121,0.0
Beta_122,0.0
Beta_123,0.0
Beta_124,0.0
Beta_125,3.0189766268601185e-05
Beta_126,1.2739592331450056e-05
Beta_127,0.0
Beta_128,3.3628889794474535e-05
Beta_129,0.0
Beta_130,0.0
Beta_131,0.0
Beta_132,0.0
Beta_133,0.0
Beta_134,0.0
Beta_135,0.0
Beta_136,0.0
Beta_137,0.0
Beta_138,0.0
Beta_139,0.0
Beta_140,5.8747504649236165e-06
Beta_141,0.0
Beta_142,3.9262031220248606e-05
Beta_143,0.0
Beta_144,0.0
Beta_145,0.0
Beta_146,0.0
Beta_147,0.0
Beta_148,0.0
Beta_149,0.0
Beta_150,0.0
Beta_151,0.0
Beta_152,0.0
Beta_153,1.3221217642688301e-05
Beta_154,0.0
Beta_155,0.0
Beta_156,0.0
Beta_157,-1.424261284429572e-05
Beta_158,0.0
Beta_159,-1.2991061062675964e-06
Beta_160,1.7336868451277388e-05
Beta_161,0.0
Beta_162,0.0
Beta_163,0.0
Beta_164,0.0
Beta_165,-1.733800261377573e-05
Beta_166,-2.176968013555743e-07
Beta_167,0.0
Beta_168,0.0
Beta_169,0.0
Beta_170,1.574745122705637e-05
Beta_171,0.0003029952205918427
Beta_172,0.0
Beta_173,1.013258450757332e-06
Beta_174,0.0004009569491075701
Beta_175,0.0
Beta_176,0.0
Beta_177,0.0
Beta_178,0.0
Beta_179,0.0
Beta_180,0.0
Beta_181,0.0
Beta_182,0.0
Beta_183,0.0
Beta_184,0.0
Beta_185,0.0
Beta_186,0.0
Beta_187,0.0
Beta_188,0.0
Beta_189,-1.9302414716713247e-05
Beta_190,-3.331331490650857e-05
Beta_191,-6.082280307164729e-07
Beta_192,0.0
Beta_193,0.0
Beta_194,0.0
Beta_195,0.0
Beta_196,0.0
Beta_197,0.0
Beta_198,0.0
Beta_199,0.0
Beta_200,0.0
Beta_201,0.0
Beta_202,-5.324786108942478e-06
Beta_203,-4.344965291330403e-06
Beta_204,-1.1447305697920386e-05
Beta_205,0.0
Beta_206,0.0
Beta_207,0.0
Beta_208,0.0
Beta_209,0.0
Beta_210,0.0
Beta_211,0.0
Beta_212,0.0
Beta_213,0.0
Beta_214,0.0
Beta_215,0.0
Beta_216,0.0
Beta_217,0.0
Beta_218,0.0
Beta_219,0.0
Beta_220,0.0
Beta_221,0.0
Beta_222,0.0
Beta_223,-1.1183132011763155e-05
Beta_224,0.0
Beta_225,0.0
Beta_226,0.0
Beta_227,3.643830410006338e-06
Beta_228,0.0
Beta_229,0.0
Beta_230,0.0
Beta_231,-2.930453824884658e-05
Beta_232,-0.00010787328470824618
Beta_233,0.0
Beta_234,-5.8725277219890975e-05
Beta_235,0.0
Beta_236,0.0
Beta_237,0.0
Beta_238,0.0
Beta_239,0.0
Beta_240,0.0
Beta_241,0.0
Beta_242,0.0
Beta_243,0.0
Beta_244,0.0
Beta_245,0.0
Beta_246,0.0
Beta_247,0.0
Beta_248,0.0
Beta_249,0.0
Beta_250,-8.678218246064747e-05
Beta_251,-6.230922012313717e-05
Beta_252,-9.336408050517059e-05
Beta_253,-0.0002430957850579281
Beta_254,-0.00024344219885129387
Beta_255,0.0
Beta_256,2.0139454528261635e-05
Beta_257,8.277835137211428e-05
Beta_258,0.0
Beta_259,0.0
Beta_260,0.0
Beta_261,2.4941719083021616e-06
Beta_262,9.299231339818873e-06
Beta_263,0.0
Beta_264,0.0
Beta_265,0.0
Beta_266,0.0
Beta_267,0.0
Beta_268,0.0
Beta_269,0.0
Beta_270,6.371890645846462e-07
Beta_271,0.0
Beta_272,6.589032369021932e-05
Beta_273,0.0
Beta_274,0.0
Beta_275,3.759638925017506e-05
Beta_276,0.0
Beta_277,0.0
Beta_278,0.0
Beta_279,5.384309686636351e-06
Beta_280,-0.0003277674910552584
Beta_281,-0.0001625217945959512
Beta_282,-0.00010379105336408608
Beta_283,-0.00039867923651949223
Beta_284,-0.00013232984423715836
Beta_285,0.0
Beta_286,0.0
Beta_287,1.2690701353414287e-05
Beta_288,0.0
Beta_289,0.0
Beta_290,0.0
Beta_291,0.0
Beta_292,0.0
Beta_293,0.0
Beta_294,-1.5560451047765655e-06
Beta_295,-4.2018198073931805e-05
Beta_296,-0.00012694600892564564
Beta_297,-5.1147465856016764e-05
Beta_298,-0.00010132241750645153
Beta_299,-0.00011618742631153987
Beta_300,0.0
Beta_301,0.0
Beta_302,0.0
Beta_303,0.0
Beta_304,0.0
Beta_305,0.0
Beta_306,0.0
Beta_307,0.0
Beta_308,0.0
Beta_309,0.0
Beta_310,0.0003696580234822231
Beta_311,0.00011038755344288942
Beta_312,0.00083333341498808
Beta_313,0.0001655715557845788
Beta_314,8.569895600724378e-05
Beta_315,0.0
Beta_316,0.0
Beta_317,0.0
Beta_318,0.0
Beta_319,0.0
Beta_320,0.0
Beta_321,0.00010078932769474437
Beta_322,1.205524049335274e-05
Beta_323,0.0
Beta_324,0.0
Beta_325,0.0
Beta_326,0.0
Beta_327,0.0
Beta_328,0.0
Beta_329,2.3600779608939133e-05
Beta_330,0.0
Beta_331,0.0
Beta_332,0.0
Beta_333,0.0
Beta_334,0.0
Beta_335,0.0
Beta_336,-1.2289533434125787e-05
Beta_337,0.0
Beta_338,0.0
Beta_339,0.0
Beta_340,0.0
Beta_341,0.0
Beta_342,0.0
