Feature,Coefficient
Beta_0,-0.00010630171498700661
Beta_1,-0.0010100447935290555
Beta_2,-0.001259021752899144
Beta_3,-0.002473484503939153
Beta_4,-0.0023106180830014286
Beta_5,-3.055223965888066e-06
Beta_6,0.0
Beta_7,0.0
Beta_8,0.0
Beta_9,0.0
Beta_10,0.0
Beta_11,0.0
Beta_12,0.0
Beta_13,0.0
Beta_14,0.0
Beta_15,-0.01580824984242326
Beta_16,-0.234040938152028
Beta_17,-0.023751683360693714
Beta_18,-0.1067305620301405
Beta_19,-0.08297742897379194
Beta_20,-0.20483180265189427
Beta_21,-0.01877090052507215
Beta_22,-0.021550618538011206
Beta_23,-0.01926914150911743
Beta_24,-0.037142452242698985
Beta_25,-0.0480976202121884
Beta_26,-0.1645283152056246
Beta_27,-0.017858884953906484
Beta_28,-0.031875822499453095
Beta_29,-0.05083991538175757
Beta_30,-0.12651400796870452
Beta_31,-0.0220183746950655
Beta_32,-0.06873668872772969
Beta_33,-0.040850930405323706
Beta_34,-0.01635878916546303
Beta_35,-0.0006112398207475815
Beta_36,-3.140234436510339e-05
Beta_37,-6.743516058821211e-05
Beta_38,-0.0037035539045918446
Beta_39,-0.0021529889081024008
Beta_40,0.0003619612494424142
Beta_41,0.00010383511123069337
Beta_42,0.000181677765652046
Beta_43,0.001500223671461222
Beta_44,0.0008069986423543432
Beta_45,0.0
Beta_46,0.0
Beta_47,3.062625912200995e-05
Beta_48,1.787195219242391e-05
Beta_49,2.6651095659227968e-05
Beta_50,0.0
Beta_51,0.0
Beta_52,1.0568203426499446e-05
Beta_53,0.0
Beta_54,0.0
Beta_55,2.9956183251784957e-07
Beta_56,0.0
Beta_57,0.0
Beta_58,1.0510952209554808e-05
Beta_59,0.0
Beta_60,0.0
Beta_61,0.0
Beta_62,0.0
Beta_63,0.0
Beta_64,0.0
Beta_65,0.0
Beta_66,0.0
Beta_67,0.0
Beta_68,0.0
Beta_69,0.0
Beta_70,-0.00023278730360726396
Beta_71,-2.5033792025390537e-05
Beta_72,-7.877001169600005e-05
Beta_73,-3.94683418516357e-05
Beta_74,-2.305237526642924e-05
Beta_75,0.0
Beta_76,0.0
Beta_77,0.0
Beta_78,0.0
Beta_79,0.0
Beta_80,0.0
Beta_81,0.0
Beta_82,0.0
Beta_83,0.0
Beta_84,0.0
Beta_85,0.0
Beta_86,0.0
Beta_87,0.0
Beta_88,0.0
Beta_89,0.0
Beta_90,0.0
Beta_91,0.0
Beta_92,0.0
Beta_93,0.0
Beta_94,0.0
Beta_95,0.0
Beta_96,0.0
Beta_97,0.0
Beta_98,0.0
Beta_99,0.0
Beta_100,0.0
Beta_101,0.0
Beta_102,0.0
Beta_103,0.0
Beta_104,0.0
Beta_105,0.0
Beta_106,0.0
Beta_107,1.2054471218847518e-05
Beta_108,0.0
Beta_109,1.610770750125425e-05
