Feature,Coefficient
Beta_0,-0.010014471075089605
Beta_1,-0.018984606590615953
Beta_2,-0.014564038048893524
Beta_3,-0.16620122083136218
Beta_4,-0.005125073054452488
Beta_5,0.06643886541722234
Beta_6,0.0065494811977775
Beta_7,0.10513603840895963
Beta_8,0.023329967775342332
Beta_9,0.05117388445353092
Beta_10,0.0
Beta_11,0.0
Beta_12,-0.00041434322865678964
Beta_13,0.0003622892883987084
Beta_14,0.0007512979837266088
Beta_15,-0.009735354573902968
Beta_16,0.0
Beta_17,-0.008479040840875847
Beta_18,-0.0037410094231349403
Beta_19,-0.001912927179063834
Beta_20,0.02592180515467076
Beta_21,0.0009414941333766792
Beta_22,0.008075608124551787
Beta_23,0.008917928063839915
Beta_24,0.0
Beta_25,-0.001368341140384327
Beta_26,0.0
Beta_27,-0.2813283553773519
Beta_28,-0.03719218767572201
Beta_29,-0.02579172068804795
Beta_30,0.011115536493751224
Beta_31,0.014674479650107172
Beta_32,0.17960447705098415
Beta_33,0.1807414605826743
Beta_34,0.0665873628720954
Beta_35,0.0
Beta_36,0.0
Beta_37,0.0
Beta_38,0.0
Beta_39,-0.003335243403562316
Beta_40,-0.00682750278006399
Beta_41,-0.005066759699295355
Beta_42,-0.014477269183279542
Beta_43,-0.043544778660199394
Beta_44,-0.05083926887627361
Beta_45,0.07838342500367361
Beta_46,0.02323889759865582
Beta_47,0.07458707552221938
Beta_48,0.002747105508998127
Beta_49,0.05942844121218686
Beta_50,0.0
Beta_51,0.0
Beta_52,0.0
Beta_53,0.0
Beta_54,0.0
Beta_55,0.0
Beta_56,0.0
Beta_57,0.0
Beta_58,0.0
Beta_59,0.0
Beta_60,-0.007308035541157505
Beta_61,-0.001403272006889655
Beta_62,-0.0011406188385013063
Beta_63,-0.0075117257490240645
Beta_64,-0.003999954975037733
Beta_65,0.008603297125655421
Beta_66,0.0015623060633536377
Beta_67,0.007689911072199681
Beta_68,0.0028039506571136985
Beta_69,0.004344906480912526
Beta_70,0.000982491766142566
Beta_71,0.0
Beta_72,0.001545660863344933
Beta_73,0.004489935225489445
Beta_74,0.004992095994668583
Beta_75,-7.083499064086331e-06
Beta_76,0.0
Beta_77,-0.00398208810643318
Beta_78,-0.002204336825652164
Beta_79,0.0
Beta_80,0.011062190943027527
