Feature,Coefficient
Beta_0,0.03986355320991817
Beta_1,0.12802682972497498
Beta_2,0.03997834665243686
Beta_3,0.019612036901728365
Beta_4,0.07246946354444589
Beta_5,0.03636560427664783
Beta_6,0.050638231420475875
Beta_7,0.07844810998536719
Beta_8,0.06709137794044122
Beta_9,0.09338989097961259
Beta_10,-0.014272266585282824
Beta_11,-0.024616794521146984
Beta_12,-0.04101453851267567
Beta_13,-0.030526207404608447
Beta_14,-0.0584983950769965
Beta_15,-0.02032282390264622
Beta_16,-0.022454583343334594
Beta_17,-0.03347389480265053
Beta_18,-0.0794385047455806
Beta_19,-0.021538462927927153
Beta_20,-0.0067845450562495305
Beta_21,-0.013724318238506996
Beta_22,-6.416745006251159e-06
Beta_23,-0.0020201250714406414
Beta_24,-0.05418066011760801
Beta_25,-0.20806594903341666
Beta_26,-0.08009490706615087
Beta_27,-0.11386772054179918
Beta_28,-0.01632832563713206
Beta_29,-0.03469168230750218
Beta_30,0.07801388866790121
Beta_31,0.03669514532052364
Beta_32,0.028077514298185748
Beta_33,0.38987001663048426
Beta_34,0.07973597769258899
Beta_35,-0.04216377756109255
Beta_36,-0.031010985794182745
Beta_37,-0.131780650688163
Beta_38,-0.01843513400590267
Beta_39,-0.03654084693458258
Beta_40,-0.21174181751634324
Beta_41,-0.05065581421338976
Beta_42,-0.1717193782701593
Beta_43,-0.07773993624496682
Beta_44,-0.06337757508921527
Beta_45,0.012780858381397744
Beta_46,0.020514217780813287
Beta_47,0.028049482266906265
Beta_48,0.05225751600815138
Beta_49,0.04444769113553511
Beta_50,0.0
Beta_51,0.0
Beta_52,0.0
Beta_53,1.1322073126907903e-05
Beta_54,0.0
Beta_55,-0.00251097981385406
Beta_56,0.0
Beta_57,-0.00010088386737801683
Beta_58,0.0
Beta_59,0.0
Beta_60,0.0
Beta_61,0.0
Beta_62,0.0
Beta_63,0.0
Beta_64,0.0
Beta_65,0.0
Beta_66,0.0
Beta_67,0.0
Beta_68,0.0
Beta_69,0.0
Beta_70,0.0
Beta_71,0.0
Beta_72,0.0
Beta_73,0.0
Beta_74,0.0
Beta_75,0.00037271311071353035
Beta_76,0.0
Beta_77,0.002624035497399563
Beta_78,0.0005907598727443453
Beta_79,0.0023536422646929364
Beta_80,0.0
Beta_81,0.0
Beta_82,0.0
Beta_83,0.0
Beta_84,0.0
Beta_85,0.0
Beta_86,0.0003223684615005897
Beta_87,0.0
Beta_88,0.0001816601265305807
Beta_89,0.0
Beta_90,-0.0030972411305520307
Beta_91,-0.0016190340143949675
Beta_92,-0.00016158918937785187
Beta_93,-0.0015048183571551633
Beta_94,-0.0014915775497078248
Beta_95,0.0
Beta_96,0.0
Beta_97,0.0
Beta_98,0.0
Beta_99,-7.483151744023942e-05
Beta_100,0.0
Beta_101,0.0
Beta_102,0.0
Beta_103,0.0
Beta_104,0.0
Beta_105,0.0
Beta_106,0.0
Beta_107,0.0
Beta_108,0.0
Beta_109,0.0
Beta_110,0.0
Beta_111,0.0
Beta_112,0.0
Beta_113,0.0
Beta_114,0.0
Beta_115,-0.0019383531815770334
Beta_116,0.0
Beta_117,-0.0013296500607615103
Beta_118,-0.0024008644669919633
Beta_119,-0.0008460919853580712
Beta_120,0.0
Beta_121,0.0
Beta_122,0.0
Beta_123,0.0
Beta_124,-0.002189076544549471
Beta_125,1.787672904944659e-05
Beta_126,0.00045890785921985487
Beta_127,0.0
Beta_128,0.0010101271752365568
Beta_129,0.0004467353227960407
Beta_130,0.0
Beta_131,0.0
Beta_132,0.0
Beta_133,0.0
Beta_134,0.0
Beta_135,0.0
Beta_136,0.0
Beta_137,0.0
Beta_138,0.0
Beta_139,0.0
Beta_140,0.0
Beta_141,0.0
Beta_142,0.0010374647172292635
Beta_143,0.0
Beta_144,0.00043034816807602916
Beta_145,0.0
Beta_146,0.0
Beta_147,-9.971042985346718e-05
Beta_148,-0.00042377320372254
Beta_149,0.0
Beta_150,7.085183965145572e-05
Beta_151,0.0
Beta_152,0.0
Beta_153,0.0
Beta_154,0.0
Beta_155,0.0
Beta_156,0.0
Beta_157,0.0
Beta_158,0.0
Beta_159,0.0
Beta_160,0.0
Beta_161,0.0
Beta_162,0.0
Beta_163,0.0
Beta_164,0.0
Beta_165,-0.0003610873788252964
Beta_166,0.0
Beta_167,0.0
Beta_168,0.0
Beta_169,0.0
Beta_170,8.58340345442949e-05
Beta_171,0.005835555599329851
Beta_172,0.0
Beta_173,0.0017986910214184834
Beta_174,0.0038132398051752316
Beta_175,0.0
Beta_176,0.0
Beta_177,0.0
Beta_178,0.0
Beta_179,0.0
Beta_180,0.0
Beta_181,0.0
Beta_182,0.0
Beta_183,-0.00010003197062809845
Beta_184,0.0
Beta_185,0.0
Beta_186,0.0
Beta_187,0.0
Beta_188,0.0
Beta_189,0.0
Beta_190,-0.0016375975670044507
Beta_191,0.0
Beta_192,0.0
Beta_193,0.0
Beta_194,0.0
Beta_195,0.0
Beta_196,0.0
Beta_197,0.0
Beta_198,0.0
Beta_199,0.0
Beta_200,-7.893735987440935e-05
Beta_201,-0.00015941377044649852
Beta_202,0.0
Beta_203,0.0
Beta_204,0.0
Beta_205,0.0
Beta_206,0.0
Beta_207,0.0
Beta_208,0.0
Beta_209,0.0
Beta_210,0.0026846017884786365
Beta_211,0.0
Beta_212,0.0
Beta_213,0.0
Beta_214,0.0
Beta_215,0.0
Beta_216,0.0
Beta_217,0.0
Beta_218,0.0
Beta_219,0.0
Beta_220,0.0
Beta_221,0.0
Beta_222,0.0
Beta_223,-0.0002574143056040015
Beta_224,0.0
Beta_225,0.0
Beta_226,0.0
Beta_227,0.0
Beta_228,0.0
Beta_229,0.0
Beta_230,0.0
Beta_231,-0.000355127880108777
Beta_232,-0.000615599321800397
Beta_233,0.0
Beta_234,-0.0006211444993066779
Beta_235,0.0
Beta_236,0.0
Beta_237,0.0
Beta_238,0.0
Beta_239,0.0
Beta_240,0.0
Beta_241,0.0
Beta_242,0.0
Beta_243,0.0006613593907968099
Beta_244,0.0
Beta_245,0.0
Beta_246,0.0
Beta_247,0.0
Beta_248,0.0
Beta_249,0.0
Beta_250,-0.00180229921360282
Beta_251,-0.0011079383775751894
Beta_252,-0.0007380108468050821
Beta_253,-0.0034864559824130483
Beta_254,-0.005212374536058402
Beta_255,0.0
Beta_256,0.0012892464710086773
Beta_257,4.748457697689626e-05
Beta_258,0.0
Beta_259,0.0007120023476907032
Beta_260,0.0
Beta_261,0.0
Beta_262,0.0
Beta_263,0.0
Beta_264,0.0
Beta_265,0.0
Beta_266,0.0
Beta_267,0.0
Beta_268,0.0
Beta_269,0.0
Beta_270,0.0004559183855709649
Beta_271,0.0
Beta_272,0.0005458413143188702
Beta_273,0.0021894518307846197
Beta_274,0.00036644645958423507
Beta_275,0.00025372589440681646
Beta_276,0.0
Beta_277,0.0
Beta_278,0.0
Beta_279,0.0018963340964915614
Beta_280,-0.0038534056404097923
Beta_281,-0.0013241951147673987
Beta_282,-0.005896398845824606
Beta_283,-0.0035874778115694726
Beta_284,-0.0026737896085265228
Beta_285,0.0
Beta_286,0.0
Beta_287,0.0
Beta_288,0.0
Beta_289,0.0
Beta_290,0.0
Beta_291,0.0
Beta_292,-0.0020077164944002327
Beta_293,0.0
Beta_294,0.0
Beta_295,-0.0006060953610741497
Beta_296,-0.001054958316583862
Beta_297,-0.0008056884284493078
Beta_298,-0.002232284462846228
Beta_299,0.0
Beta_300,0.0
Beta_301,-0.0006047940152173609
Beta_302,0.0
Beta_303,0.0
Beta_304,0.0
Beta_305,0.0
Beta_306,0.0
Beta_307,0.0
Beta_308,0.0
Beta_309,0.0
Beta_310,0.0019035259356907307
Beta_311,0.0017652073000770962
Beta_312,0.003024434927141831
Beta_313,0.0007414818140498849
Beta_314,0.0016443885654451962
Beta_315,0.0
Beta_316,0.00014894276172117387
Beta_317,0.0
Beta_318,0.0
Beta_319,0.0
Beta_320,0.0
Beta_321,0.000257659985695992
Beta_322,0.0012813290441905487
Beta_323,0.0
Beta_324,0.0017758537601492918
Beta_325,0.0
Beta_326,0.0
Beta_327,0.0
Beta_328,0.0
Beta_329,0.0
Beta_330,0.0
Beta_331,0.0
Beta_332,0.0
Beta_333,0.0
Beta_334,0.0
Beta_335,0.0
Beta_336,-0.0016627905745038472
Beta_337,-0.0005300867179070474
Beta_338,0.0
Beta_339,0.0
Beta_340,0.0
