Feature,Coefficient
Beta_0,0.35320823624169867
Beta_1,0.24959364564782593
Beta_2,0.0
Beta_3,0.09417157296123975
Beta_4,0.13066232225115834
Beta_5,0.0
Beta_6,0.018361748449430292
Beta_7,0.07382521687202573
Beta_8,0.018563766017080995
Beta_9,0.0016603734034705004
Beta_10,0.0
Beta_11,0.0
Beta_12,0.0
Beta_13,0.0
Beta_14,0.0
Beta_15,0.0
Beta_16,0.0
Beta_17,0.0
Beta_18,0.0
Beta_19,0.0
Beta_20,0.0007281297437744873
Beta_21,0.0
Beta_22,0.0
Beta_23,0.0
Beta_24,0.0
Beta_25,0.0
Beta_26,0.0
Beta_27,0.0
Beta_28,0.0
Beta_29,0.0
Beta_30,0.0
Beta_31,0.0
Beta_32,0.0
Beta_33,0.0
Beta_34,0.0
Beta_35,0.0
Beta_36,0.0
Beta_37,0.0
Beta_38,0.0
Beta_39,0.0
Beta_40,0.0
Beta_41,0.0
Beta_42,0.0
Beta_43,0.0
Beta_44,0.0
Beta_45,-0.007600622435767229
Beta_46,-0.0006635906893528998
Beta_47,-0.004179666829164802
Beta_48,-0.0030161661809978155
Beta_49,0.0
Beta_50,0.0
Beta_51,0.0
Beta_52,0.0
Beta_53,0.0
Beta_54,0.0
Beta_55,0.0
Beta_56,0.0
Beta_57,0.0
Beta_58,0.0
Beta_59,0.0
Beta_60,0.0
Beta_61,0.0
Beta_62,0.0
Beta_63,0.0
Beta_64,0.0
Beta_65,0.0
Beta_66,0.0
Beta_67,0.0
Beta_68,0.0
Beta_69,0.0
Beta_70,0.0
Beta_71,0.0
Beta_72,0.0008701656141962317
Beta_73,0.0
Beta_74,0.0
Beta_75,0.0
Beta_76,0.0
Beta_77,0.0
Beta_78,0.0
Beta_79,0.0
Beta_80,0.0
Beta_81,0.000339093193339576
Beta_82,0.00018031946828289756
Beta_83,9.264857997673721e-05
Beta_84,0.0
Beta_85,0.0
Beta_86,0.0
Beta_87,0.0
Beta_88,0.0
Beta_89,0.0
Beta_90,0.0
Beta_91,0.0
Beta_92,-0.00018686514031516333
Beta_93,0.0
Beta_94,0.0
Beta_95,0.0
Beta_96,0.0
Beta_97,0.0
Beta_98,0.0
Beta_99,0.0
