Feature,Coefficient
Beta_0,0.39737114221781095
Beta_1,0.13738128484415768
Beta_2,0.0
Beta_3,0.2699790716540723
Beta_4,0.02724457405594862
Beta_5,0.0
Beta_6,0.0
Beta_7,0.00537820672276226
Beta_8,0.006924954242150338
Beta_9,0.0
Beta_10,-0.002167145110705196
Beta_11,-0.006371267083519613
Beta_12,-0.0008520515506367087
Beta_13,-0.010742166765450721
Beta_14,-0.006636008225437999
Beta_15,0.0
Beta_16,0.0
Beta_17,-0.0010011213917076665
Beta_18,0.0
Beta_19,0.0
Beta_20,-0.0017531928607189857
Beta_21,0.0
Beta_22,0.0
Beta_23,0.0
Beta_24,-0.0007551053588848825
Beta_25,0.0
Beta_26,0.0006772026295058786
Beta_27,0.0007091564792715641
Beta_28,0.0027498369031346876
Beta_29,0.0
Beta_30,0.0
Beta_31,0.0
Beta_32,0.0
Beta_33,0.0
Beta_34,0.0
Beta_35,0.0
Beta_36,0.0
Beta_37,0.0
Beta_38,0.0
Beta_39,0.00011370217568060855
Beta_40,0.0
Beta_41,0.0
Beta_42,0.0
Beta_43,0.0
Beta_44,0.0015263566779818772
Beta_45,0.0
Beta_46,0.0
Beta_47,-0.00031662818929991077
Beta_48,-0.005717547358643843
Beta_49,0.0
Beta_50,-0.0015580301522736192
Beta_51,-0.006504453002218399
Beta_52,-0.000510585385056089
Beta_53,-0.0020707214160121967
Beta_54,0.0
Beta_55,0.0
Beta_56,-0.0027257514867980374
Beta_57,0.0
Beta_58,0.0
Beta_59,0.0
Beta_60,0.0
Beta_61,-2.8187342363643836e-05
Beta_62,0.0
Beta_63,0.0
Beta_64,0.0
Beta_65,0.0
Beta_66,0.0
Beta_67,-0.0009408581169135343
Beta_68,0.0
Beta_69,0.0
Beta_70,-0.00026701778554524244
Beta_71,-0.0018305760992504332
Beta_72,0.0
Beta_73,0.0
Beta_74,0.0
Beta_75,0.0
Beta_76,-0.0006168656909092563
Beta_77,-0.001794005610967413
Beta_78,-6.173889523312646e-05
Beta_79,-0.000902110854208692
Beta_80,0.0008351409821506207
Beta_81,0.0
Beta_82,0.0008760492519634377
Beta_83,0.0
Beta_84,0.0
Beta_85,0.0
Beta_86,-0.0005287344085389585
Beta_87,-0.000113119140249437
Beta_88,0.0
Beta_89,0.0
Beta_90,0.0
Beta_91,0.0
Beta_92,0.0
Beta_93,0.0
Beta_94,0.0
Beta_95,-0.0006565078870846754
Beta_96,-0.0023893485176659734
Beta_97,-0.000151291853269072
Beta_98,-0.0011570623931961034
Beta_99,0.0
