Feature,Coefficient
Beta_0,0.21140281052589996
Beta_1,0.1747983978598144
Beta_2,0.0
Beta_3,0.23258838608392626
Beta_4,0.25077219131489786
Beta_5,0.0
Beta_6,0.029381783153002897
Beta_7,0.016335299419456197
Beta_8,0.0013330165306770446
Beta_9,0.0
Beta_10,0.0
Beta_11,0.001757529082609795
Beta_12,0.0
Beta_13,0.0010706401629513127
Beta_14,0.0013876268698393547
Beta_15,0.0
Beta_16,0.0
Beta_17,0.0
Beta_18,0.0
Beta_19,0.0
Beta_20,0.0
Beta_21,0.0
Beta_22,0.00025377088719756314
Beta_23,0.0005962750259638817
Beta_24,1.9434218858404297e-05
Beta_25,0.000144001546777574
Beta_26,0.0
Beta_27,0.0004170909393709806
Beta_28,0.0
Beta_29,0.0
Beta_30,0.0
Beta_31,0.0
Beta_32,0.0
Beta_33,0.0
Beta_34,0.0
Beta_35,0.0
Beta_36,0.0
Beta_37,0.0
Beta_38,0.0
Beta_39,0.0
Beta_40,0.0
Beta_41,0.0
Beta_42,-0.0023692922965280025
Beta_43,0.0
Beta_44,0.0
Beta_45,-0.00044116518366140383
Beta_46,0.0
Beta_47,-0.0007969513431181262
Beta_48,0.0
Beta_49,0.0
Beta_50,0.0
Beta_51,0.0
Beta_52,0.0
Beta_53,0.0
Beta_54,0.0
Beta_55,0.0
Beta_56,0.0
Beta_57,0.0
Beta_58,0.0
Beta_59,-0.00013941563446203542
Beta_60,0.0
Beta_61,0.0
Beta_62,0.0
Beta_63,0.0006614979018976367
Beta_64,0.0
Beta_65,0.0
Beta_66,0.0
Beta_67,0.0
Beta_68,0.0
Beta_69,0.0
Beta_70,0.0
Beta_71,0.0
Beta_72,0.0
Beta_73,0.0
Beta_74,0.0
Beta_75,0.0
Beta_76,0.0
Beta_77,0.0002624502978406783
Beta_78,0.0
Beta_79,5.514926832149565e-05
Beta_80,0.0
Beta_81,-9.494850618634077e-05
Beta_82,0.0
Beta_83,0.0
Beta_84,0.0
Beta_85,0.0
Beta_86,0.0
Beta_87,0.00014005184662026936
Beta_88,0.0
Beta_89,0.0
Beta_90,0.0
Beta_91,0.0
Beta_92,0.0
Beta_93,0.0
Beta_94,0.011400444409211539
Beta_95,0.0
Beta_96,0.0
Beta_97,0.0
Beta_98,-7.161519628031187e-05
Beta_99,0.0
